Name	StrHausNr	PLZ	Ort	Bettenanzahl
William Harvey Klinik	Am Kaiserberg 6	61231	Bad Nauheim	86
Diabetes-Klinik	Am Klaubusch	29549	Bad Bevensen	125
Kreiskrankenhaus	Am Kleinen Ofenberg 1	34466	Wolfhagen	121
Krankenhaus Buxtehude	Am Krankenhaus 1	21614	Buxtehude	251
St Elisabeth-Hospital	Am Krankenhaus 12	49497	Mettingen	79
Kreiskrankenhaus Osterholz	Am Krankenhaus 4	27711	Osterholz-Scharmbeck	212
Kreiskrankenhaus	Am Krankenhaus 5	24211	Preetz	198
Augenklinik	Am Kurpark 13-15	49214	Bad Rothenfelde	65
Städtisches Krankenhaus	Am Leineufer 70	30419	Hannover	200
Huettenhospital	Am Marksbach 28	44269	Dortmund	144
Brk Rheuma-Zentrum	Am Markt 2	93077	Bad Abbach	257
Krankenhaus Neuhaus Elbe	Am Markt 5           18	19273	Neuhaus	65
Lichtenau Orthopaedische	Am Muehlenberg	37235	Hessisch Lichtenau	30
Lichtenau Ev	Am Mühlenberg	37235	Hessisch Lichtenau	150
Paracelsus-Klinik	Am Natruper Holz 69	49076	Osnabrück	350
Humboldt-Krankenhaus	Am Nordgraben 2	13509	Berlin	916
Privatklinik Dr. Katalinic	Am Plärrer 35	90443	Nürnberg	10
Kreiskrankenhaus	Am Plattenwald 1	74177	Bad Friedrichshall	447
Klinik Roseneck Gmbh & Co	Am Roseneck 6	83209	Prien	150
Johanniter-Krankenhaus	Am Runden Berge	21502	Geesthacht	252
Kreis-U Stadtkrankenhaus	Am Schillerhain 1-8	95615	Marktredwitz	355
Mathildenhospital	Am Schlag 9	63654	Büdingen	172
Krankenhaus Maria-Hilf	Am Schoenschede 1	59929	Brilon	225
Krankenhaus Wettin	Am Schweizerling	6198	Wettin	92
Krankenhaus F Psychiatrie	Am Sommerberg	97816	Lohr	441
Staedtisches Krankenhaus	Am Stadtgarten 10	78333	Stockach	70
Kreiskrankenhaus Bautzen	Am Stadtwall 3	2625	Bautzen	568
St-Vincenz-Krankenhaus	Am Stein 24	58706	Menden	286
Neurologische Klinik	Am Tannenwald	79215	Elzach	5
Stiftung Liebenau Kliniken	Am Vogelherd 4	88239	Wangen	125
Nephrologisches Zentrum	Am Vogelsang 105	34346	Hannoversch Münden	120
Kreiskrankenhaus	Am Vogelsang 4	79618	Rheinfelden	170
Michaelis-Krankenhaus e.V.	Am Weiher 7	20255	Hamburg	103
Krankenhaus St.Elisabeth	Am Weinberg 19	36251	Bad Hersfeld	79
Vitalisklinik	Am Weinberg 3	36251	Bad Hersfeld	31
Frauenklinik	Am Zuckerberg 89	71640	Ludwigsburg	14
Krankenhaus Rohrbach	Amalienstr 5	69126	Heidelberg	206
Krankenhaus Mörsenbroich-	Amalienstraße 9	40472	Düsseldorf	463
Städt. Krankenhaus Riehl	Amsterdamer Str 59	50735	Köln	336
Frauenklinik Dr Herrmann	Amstetter Str 54 A	70329	Stuttgart	44
Marienkrankenhaus	Amtfeld 19	76316	Malsch	31
Kreiskrankenhaus Crivitz	Amtsstraße 1	19089	Crivitz	128
Klinik Oberwald Kg	An den Mühlwiesen 14-17	36355	Grebenhain	168
Städtische Kliniken Olden-	An den Vossbergen 79-99	26133	Oldenburg	603
St Johannes-Hospital	An der Abtei 7-11	47166	Duisburg	630
Krankenhaus Radewitz	An der Autobahn 1	17328	Grünz	60
St Vincenz- Und	An der Goldgrube 11	55131	Mainz	458
Kreiskrankenhaus	An der Gontardslust 7	57319	Bad Berleburg	163
Caritas-Krankenhaus	An der Heeresstr	66822	Lebach	241
Evangelisches Krankenhaus	An der Lutter 24	37075	Göttingen	355
Staedt Krankenanstalten	An der Rosenhoehe 27	33647	Bielefeld	356
DRK-Manniske-Krankenhaus	An der Wipper 2	6567	Bad Frankenhausen	237
Kreiskrankenhaus	An Fronte Karl 1	76726	Germersheim	171
Krankenhaus Einbeck	Andershäuser Straße 8	37574	Einbeck	205
Krankenanst Des Landkreises	Andreaestrasse 10	71665	Vaihingen	126
Evang Krankenhaus	Andreasring 13-17	67547	Worms	208
Kreiskrankenhaus Herzberg	Anhalter Strasse 1	4916	Herzberg	237
St.-Anna-Stift	Annenstraße	49624	Löningen	150
Krankenhaus	Annenstraße 15	27239	Twistringen	96
Kreiskrankenhaus Leer	Annenstraße 9	26789	Leer	320
Fachkrankenhaus Kloster	Annostr 1	57392	Schmallenberg	140
Staedtisches Krankenhaus	Ansbacher Str 131	91541	Rothenburg	168
St.-Willehad-Hospital	Ansgaristraße 12	26382	Wilhelmshaven	279
St Marien-Hospital	An'T Lindeken 100	48691	Vreden	132
Landesklinik Brandenburg	Anton-Saefkow-Allee 2	14772	Brandenburg/Havel	594
Arabella-Privatklinik	Arabellastr 5/19	81925	München	38
Augenklinik	Arabellastr 5/19	81925	München	36
Marien-Hospital	Ardeystr.3	58452	Witten	414
Krankenhaus Waldfriede	Argentinische Allee 40	14163	Berlin	230
Priessnitz-Klinik Mahlow	Arnold-Böcklin-Strasse 7	15831	Mahlow	80
Kreiskrankenhaus	Arnulfstr 1	93426	Roding	273
Staedt Krankenhaus	Arthur-Gruber-Strasse 70	71065	Sindelfingen	467
St Josefs-Krankenhaus	Asberger Strasse 4	47441	Moers	457
Kreiskrankenhaus	Auenstr 6	82467	Garmisch-Partenkirchen	541
Staedt Klinikum Dessau	Auenweg 38	6847	Dessau	830
Robert-Bosch-Krankenhaus	Auerbachstr 110	70469	Stuttgart	479
Krankenhaus	Auf dem hohen Ufer 19	26160	Bad Zwischenahn	105
Krankenhaus Bethanien	Auf dem Muehlberg 30	60599	Frankfurt	236
Kreiskrankenhaus Nuertingen	Auf dem Saeer 2	72622	Nürtingen	468
St Vincenz-Krankenhaus	Auf dem Schafsberg	65549	Limburg	518
Saarland-Heilstaetten Gmbh	Auf dem Sonnenberg	66111	Saarbrücken	364
Vianney-Hospital	Auf dem Stein 17-21	88662	Überlingen	30
St Antonius-Krankenhaus	Auf der Rahm 17	57537	Wissen	130
Schmerz-Zentrum Mainz	Auf der Steig 14-16	55131	Mainz	80
Deutsche Diabetes	Auf M Hennekamp 65	40225	Düsseldorf	58
Lungen-Krankenhaus	Aufderhoeherstr 179-175	42699	Solingen	120
Stadtkrankenhaus	August-Bebel-Str 59	65428	Rüsselsheim	511
Rudolf Presl Gmbh & Co	August-Bebel-Strasse 12	1731	Kreischa	30
Kreiskrankenhaus	August-Bebel-Strasse 15	9669	Frankenberg	252
Kreiskrankenhaus	August-Bebel-Strasse 55 A	39288	Burg	350
Marienhospital	August-Bendler-Str 10-14	58332	Schwelm	113
Kreiskrankenhaus	August-Holz-Strasse 1	93413	Cham	200
Marienkrankenhaus	August Antz Str 22	54293	Trier	190
Augustahospital Anholt Gmbh	Augustastrasse 8 Pstf 20	46419	Isselburg	108
Unfallklinik	Auguste-Victoria-Straße 18	24103	Kiel	38
Auguste-Viktoria- und	Auguste-Viktoria-Allee 19-23	33175	Bad Lippspringe	350
Marienkrankenhaus Gem Gmbh	Auguste-Viktoria-Allee 2	33175	Bad Lippspringe	115
Marienkrankenhaus Gem Gmbh	Auguste-Viktoria-Allee 2	33175	Bad Lippspringe	40
Universitätsklinikum	Augustenburger Platz 1	13353	Berlin	1797
Deutsches Herzzentrum	Augustenburger Platz 1	13353	Berlin	142
St Josef-Krankenhaus	Augustinusstr 23	41460	Neuss	300
Klinikum Uckermark	Auguststrasse 23	16303	Schwedt	615
Deutsche Klinik	Aukammallee 33	65191	Wiesbaden	80
Kreiskrankenhaus	Aulendorfer Str 63	88427	Bad Schussenried	60
Kreiskrankenhaus Schotten	Aussenliegend 13	63679	Schotten	155
Klinik für Kinder-und Jugend	Austr 40	35745	Herborn	80
Psychiatrisches Krankenhaus	Austrasse 40	35745	Herborn	339
St Josefs-Hospital	Axstr 35	44879	Bochum	171
St Hildegardis-Krankenhaus	Bachemerstr 29-33	50931	Köln	320
Fr-Schiller-Universitaet	Bachstrasse 18	7743	Jena	1860
Staedtisches Krankenhaus	Bachstrasse 57	88214	Ravensburg	100
Hospital Zum Hl.Geist	Bachstraße 76	59590	Geseke	145
Gynaekologisch-Onkologische	Bad-Trissl-Strasse 73	83080	Oberaudorf	290
Krankenhaus Bad Soden-	Bad Sodener Str 18	63628	Bad Soden-Salmünster	33
Kreiskrankenhaus	Bad Woerishofer Str 44	87719	Mindelheim	222
Johanniter-Krankenhaus	Badergasse 2	14913	Jüterbog	113
Evangelisches Krankenhaus	Badestrasse 23	99762	Neustadt	90
Priv.Klinik U.Sanatorium	Badstr 43	85456	Wartenberg	117
Privatklinik	Badstrasse 22	76835	Gleisweiler	100
Krankenhaus Vom Roten Kreuz	Badstrasse 35-39	70372	Stuttgart	199
Kreiskrankenhaus Arnstadt	Baerwinkelstrasse 33	99310	Arnstadt	384
Rommel-Klinik Gmbh	Baetznerstr 96	75323	Bad Wildbad	100
Krankenhaus d Missions-	Bahnhofstr 3-5	82327	Tutzing	150
Sächsisches Krankenhaus für	Bahnhofstrasse	8228	Rodewisch	317
Krankenhaus St.-Marien-Stift	Bahnhofstraße	26169	Friesoythe	140
Landesfachklinik Im	Bahnhofstrasse 1 A	7646	Stadtroda	465
Kreiskrankenhaus	Bahnhofstrasse 15	17087	Altentreptow	96
St.-Elisabeth-Krankenhaus	Bahnhofstrasse 19	99976	Lengenfeld unterm Stein	75
Elisabeth-Krankenhaus	Bahnhofstrasse 20-22	57548	Kirchen	374
Tagesklinik Heide	Bahnhofstrasse 22 A	25746	Heide	0
Frauenklinik Stendal	Bahnhofstrasse 24-26	39576	Stendal	147
Kreiskrankenhaus Soemmerda	Bahnhofstrasse 36	99610	Sömmerda	460
Krankenhaus Salzhausen	Bahnhofstraße 5	21376	Salzhausen	75
Städtisches Krankenhaus	Bahnhofstraße 7	99885	Ohrdruf	80
Katharinen-Hospital	Bahnstr 26	47877	Willich	160
Kreiskrankenhaus Erding	Bajuwarenstr 5	85435	Erding	355
Klinikum Der Philipps-	Baldingerstr	35043	Marburg	1310
Stadtklinik	Balger-Str 50	76532	Baden-Baden	443
Orthopaedisches Krankenhaus	Balthasar-Neumann-Platz 1	97440	Werneck	157
Nervenkrankenhaus	Balthasar-Neumann-Platz 1	97440	Werneck	300
Krankenhaus	Balthasar-Neumann-Platz 5	97440	Werneck	85
St.-Barbara-Hospital	Barbarastrasse 1	45964	Gladbeck	453
Asklepios Fachklinik für	Barbarastrasse 11	99750	Bleicherode	160
St Barbara-Krankenhaus	Barbarastrasse 3-5	6110	Halle	250
St Barbara-Hospital	Barbarastrasse 67	47167	Duisburg	325
St-Josefs-Krankenhaus	Barlstrasse 40	56856	Zell	220
Kreiskrankenhaus	Basedower Strasse 33	17139	Malchin	270
Marienhospital	Basilikastrasse 55	47623	Kevelaer	254
St.-Joseph-Krankenhaus	Bäumerplan 24	12101	Berlin	497
Kreiskrankenhaus	Baumhofstr 93	97828	Marktheidenfeld	163
Robert-Janker-Klinik	Baumschulallee 12-14	53115	Bonn	109
Diakonissenanstalt Emmaus	Bautzener Str. 21	2906	Niesky	133
Maria-Theresia-Klinik	Bavariaring 46	80336	München	64
Atriumhaus	Bavariastr 11	80336	München	0
Kreiskrankenhaus	Bayerwaldring 17	94405	Landau	209
Gemeinnuetziges	Beckweg 4	58313	Herdecke	484
Kreiskrankenhaus Zschopau	Beethovenstrasse 11	9405	Zschopau	249
Krankenhaus Burgstädt	Beethovenstraße 14	9217	Burgstädt	165
Marien-Hospital	Behringstr 36	44225	Dortmund	290
Klinik St Barbara	Bei St Barbara 2	86150	Augsburg	95
Krankenhaus Beim	Beim Andreasbrunnen 6	20249	Hamburg	54
Kinderkrankenhaus Seehospiz	Benekestraße 27 Postfach 1563	26548	Norderney	160
Kerckhoff-Klinik	Benekestrasse 6-8	61231	Bad Nauheim	169
Lukas-Krankenhaus	Bentheimer Str 10	48599	Gronau	135
Reha-Zentrum Fuer	Bergheimer Str 56 A	69115	Heidelberg	36
Rheinische Landesklinik	Bergische Landstraße 2	40629	Düsseldorf	564
Eggberklinik	Bergseestr 41-43	79713	Bad Säckingen	25
Hochrheinklinik	Bergseestr 57	79713	Bad Säckingen	50
Augusta-Kranken-Anstalt	Bergstr 26	44791	Bochum	602
Priv.Nervenklinik	Bergstr 50	82131	Gauting	70
Krankenhaus St Josef	Bergstr 6-12	42105	Wuppertal	291
St.- Marien-Krankenhaus	Bergstrasse 1-3	14776	Brandenburg	105
Kreiskrankenhaus Prignitz	Bergstrasse 11	19348	Perleberg	222
Kreiskrankenhaus	Bergstraße 30	38518	Gifhorn	403
Veramed-Klinik A Tannenberg	Beringhausen	59872	Meschede	80
Privatklinik Hartmann	Berliner Platz 6A	25524	Itzehoe	30
Goldenbuehl-Krankenhaus	Berliner Starsse 23	78048	Villingen-Schwenningen	92
DRK-Krankenhaus	Berliner Str.11	14169	Berlin	250
Kreiskrankenhaus Luckau	Berliner Strasse 27	15926	Luckau	181
Orthopaedische Kinderklinik	Bernauer Str 18	83229	Aschau	80
Bernhard-Nocht Institut für	Bernhard-Nocht-Straße 74	20359	Hamburg	53
Bertaklinik Hannover	Bertastraße 10	30159	Hannover	45
Sana Klinik	Bertelestrasse 75	81479	München	125
Klinik des Westens	Bertha-von-Suttner-Str 7	39108	Magdeburg	25
Kreiskrankenhaus Schleiz	Bertold-Schmidt-Straße 7-9	7901	Schleiz	167
Krankenhaus Marienberger	Berufsbildungszentrum	72501	Gammertingen	26
Privatklinik Dr. Pantke	Beselerallee 7	24105	Kiel	21
Krankenhaus Bethanien	Bethanienstr 21	47441	Moers	571
Staedt Kliniken Dortmund	Beurhausstr 40	44137	Dortmund	1864
St.-Bernhard-Hospital	Bgm-Schmelzing-Str 90	47475	Kamp-Lintfort	430
Kreiskrankenhaus	Bibersbacherstr 1	95632	Wunsiedel	60
St.- Elisabeth-Krankenhaus	Biedermannstrasse 84	4277	Leipzig	384
Städtisches Krankenhaus	Bierdener Mühle 2	28832	Achim	205
St Johannes-Hospital	Billerbeckerstr 28	48341	Altenberge	60
Privatklinik Dr. Steger	Bingstraße	90480	Nürnberg	35
Klinik Und Rehabilitations-	Birkenallee 1	37194	Wahlsburg	136
St Antonius-Krankenhaus	Birkenallee 18	41844	Wegberg	105
Walter-Friedrich Kranken-	Birkenallee 34	39130	Magdeburg	403
Gemeindekrankenhaus	Birkenstr 3	74585	Rot am See	22
Kinderklinik Dritter Orden	Bischof-Altmann-Strasse 9	94032	Passau	90
Klinikum Passau	Bischof-Piligrim-Strasse 1	94032	Passau	492
Paracelsus-Klinik	Bismarckhoehe	56130	Bad Ems	158
Staedt.Krankenhaus	Bismarckstr 19	79336	Herbolzheim	150
Rheuma Klinik	Bismarckstr 7	32545	Bad Oeynhausen	39
Olgahospital	Bismarckstr 8	70176	Stuttgart	402
Stadtkrankenhaus	Bismarckstr.23	87700	Memmingen	667
Krankenhaus St. Vinzenz	Bismarckstraße 10	38102	Braunschweig	120
St Josef-Krankenhaus	Bitburger-Str 17	54673	Neuerburg	50
Kreiskrankenhaus Uetersen	Bleekerstraße 3-5	25436	Uetersen	125
St.-Johannes-Stift	Bleichenpfad 9	26316	Varel	150
St Elisabeth-Krankenhaus	Bleichstrasse 15	44787	Bochum	347
Altonaer Kinderkrankenhaus-	Bleickenallee 38	22763	Hamburg	226
Klinik Prof Schweckendiek	Blitzweg 21	35039	Marburg	26
Ev Bethesda-Krankenhaus	Bocholder Strasse 11-13	45355	Essen	399
Kreiskrankenhaus	Bodelschwinghstr 11 A	68723	Schwetzingen	312
Staedt Krankenhaus	Bodelschwinghstr.11	76829	Landau	231
Fachkrankenhaus für	Bodelschwinghstrasse 4	16321	Lobetal	60
Kreiskrankenhaus Stassfurt	Bodestrasse 11	39418	Staßfurt	342
Marienhospital	Boeheimstr 37	70178	Stuttgart	629
Städtisches Krankenhaus	Bögelstraße 1	21339	Lüneburg	580
Krankenhaus St. Georg	Bombergallee 8	31812	Bad Pyrmont	188
Brüderkrankenhaus	Bonner Talweg 4-6	53113	Bonn	288
Dreifaltigkeitskrankenhaus	Bonnerstrasse 84	50389	Wesseling	200
Krankenhaus Paulinenstift	Borngasse 14	56355	Nastätten	104
Luisenhospital	Boxgraben 99	52064	Aachen	440
Bezirkskrankenhaus	Braeuhausstr 5	84416	Taufkirchen	584
Wilh-Griesinger-Krankenhaus	Brebacher Weg 15	12683	Berlin	701
Krankenhaus Luenen-	Brechtener Strasse 59	44536	Lünen	171
Paracelsus-Klinik Hemer	Breddestr 22	58675	Hemer	210
St.-Johannes-Stift	Bredelaer Straße 33	34431	Marsberg	635
Ev Krankenhaus	Bredenscheider Str 54	45525	Hattingen	348
Klinik für Tumorbiologie	Breisacher Straße 117	79106	Freiburg im Breisgau	80
Morlok Dr med	Breite Str 34	72116	Mössingen	15
Caritas-Kliniken Pankow	Breite Strasse 46-47	13187	Berlin	298
St.-Bernhard-Hospital	Breitestraße 84	26919	Brake	132
Flüggenhofsee-Klinik	Breloher Straße 71	29633	Munster	10
Krankenhaus St. Raphael	Bremer Straße 31	49179	Ostercappeln	175
Städtisches Krankenhaus	Bremervörder Straße 111	21682	Stade	645
Staedt Krankenanstalten	Bremserstr 79	67063	Ludwigshafen	1038
St.- Ansgar-Krankenhaus	Brenkhaeuser Str 71	37671	Höxter	405
Orthop Klinik	Brettreichstr 11	97074	Würzburg	160
Krankenhaus Landsberg Lech	Brgmstr-Dr-Hartmann-Str 15	86899	Landsberg	294
Christophorus-Kinder-	Briesingstr 6	12307	Berlin	135
Privatklinik Dr. Winkler	Brinkmannstraße 6	25813	Husum	32
Neuro-Psychiatr Krankenhaus	Bruch Str 6	52538	Gangelt	80
Hospital Z.Heiligen Geist	Bruedergasse 4	34560	Fritzlar	180
Fabricius Klinik Remscheid	Bruederstr 65	42853	Remscheid	115
Chir Privatklinik	Bruehlstr 33	32423	Minden	40
Stadtkrankenhaus	Brunnenallee 15	34537	Bad Wildungen	207
Kreiskrankenhaus Salzwedel	Brunnenstrasse 1	29410	Salzwedel	285
Augenklinik Stadthagen Gmbh	Brunnenstraße 12	31655	Stadthagen	30
Staedt Krankenhaus	Brunnenstrasse 20	66538	Neunkirchen	352
Krankenhaus Dr Lay Gmbh	Brunngasse 1	79235	Vogtsburg	108
Klinikum der	Brunswiker Straße 10	24105	Kiel	1487
Evang Krankenhaus	Brusebrinkstr 20	58135	Hagen	265
Jugenddorf Buchenhoehe	Buchenhoehe 46	83471	Berchtesgaden	20
Ev Krankenhaus Kalk	Buchforststr 2	51103	Köln	395
Landesklinik Teupitz	Buchholzer Strasse 21	15755	Teupitz	303
Franziskus-Krankenhaus	Budapester Straße 15-19	10787	Berlin	248
St Josef-Hospital	Buerer Str 47	45899	Gelsenkirchen	344
Kreiskrankenhaus Freital	Buergerstrasse 7	1705	Freital	312
Klinikum Bamberg	Buger Strasse 80	96049	Bamberg	793
