Name	StrHausNr	PLZ	Ort	Bettenanzahl
Fachkrankenhaus für Lungen-	Karower Strasse 11, Haus 205	13125	Berlin	170
St Josef-Krankenhaus	Bitburger-Str 17	54673	Neuerburg	50
Landeskrankenhaus	Kiefholzstrasse 4	39340	Haldensleben	240
Kreiskrankenhaus	Hegelpromenade 21	2943	Weißwasser	268
Kreiskrankenhaus Mosbach	Knopfweg 1	74821	Mosbach	270
Krankenhaus Neustadt	Seilersgruendchen 8	96465	Neustadt	80
Achenbach-Kreiskrankenhaus	Köpenicker Str 29	15711	Königs Wusterhausen	447
Kreiskrankenhaus Lehrte	Manskestraße 22	31275	Lehrte	206
St.-Georg-Krankenhaus	Gartenstraße 11	78073	Bad Dürrheim	0
Endo-Klinik	Holstenstraße 2	22767	Hamburg	490
Staedtisches Krankenhaus	Ansbacher Str 131	91541	Rothenburg	168
Stadt Heilbronn	Am Gesundbrunnen 20	74078	Heilbronn	838
Kreiskrankenhaus	Saliterstr 60	87616	Marktoberdorf	158
Klinikum Der Philipps-	Baldingerstr	35043	Marburg	1310
St Antonius-Krankenhaus	Am Haehnchen 36	53937	Schleiden	142
St.- Anna-Hospital	Hospitalstr 19	44649	Herne	363
Hals-Nasen-U Ohrenklinik	Johanniterstr 15	79104	Freiburg	9
St-Josefs-Krankenhaus	Barlstrasse 40	56856	Zell	220
Diabetes-Klinik	Am Klaubusch	29549	Bad Bevensen	125
Krankenhaus	Annenstraße 15	27239	Twistringen	96
Bezirkskrankenhaus Fuer	Neucoswiger Strasse 21	1640	Coswig	250
Landratsamt Hof	Schaumbergstrasse 14	95032	Hof	130
Kreiskrankenhaus Greiz	Wichmannstrasse 12	7973	Greiz	543
Fachklinik Ichenhausen	Krumbacher Str 45	89335	Ichenhausen	50
Allgemeines Krankenhaus	Langenhorner Chaussee 560	22335	Hamburg	1261
Marienkrankenhaus	Parade 3	23552	Lübeck	135
Staedt Krankenanstalten	Bremserstr 79	67063	Ludwigshafen	1038
Taunusklinik Falkenstein	Debusweg 2	61462	Königstein	153
Krankenhaus Burgstädt	Beethovenstraße 14	9217	Burgstädt	165
Deutsche Diabetes	Auf M Hennekamp 65	40225	Düsseldorf	58
Burghof-Klinik	Ritterstraße 19	31737	Rinteln	104
Lungen-Krankenhaus	Aufderhoeherstr 179-175	42699	Solingen	120
Städtisches Krankenhaus	Alter Weg 80	38302	Wolfenbüttel	353
Mosel-Eifel-Klinik	Kurfürstenstraße	56864	Bad Bertrich	115
Krankenhaus Malteserstift	M-Hornik-Strasse 1	1920	Räckelwitz	152
Hospital Zum Heiligen Geist	Lange Str 4-6	60311	Frankfurt	340
Kreiskrankenhaus Hoya	Langestraße 139	27318	Hoya	130
Kreiskrankenhaus Lörrach	Spitalstraße 25	79539	Lörrach	402
Klinik Fuer Dynamische	Geiselgasteig 203	81545	München	56
Seehospital Sahlenburg	Nordheimstraße	27476	Cuxhaven	200
St Antonius-Krankenhaus	Am Haehnchen 36	53937	Schleiden	142
Elisabeth-Krankenhaus	Hubertusstr 100	41239	Mönchengladbach	503
Reha-Zentrum Fuer	Bergheimer Str 56 A	69115	Heidelberg	36
Reha-Zentrum Fuer	Bergheimer Str 56 A	69115	Heidelberg	36
Antoniuszentrum GmbH	Hospitalstr 2	47918	Tönisvorst	170
Evangelisches Krankenhaus	Forsterweg 34	37603	Holzminden	240
Stadtkrankenhaus	Leimenstr 20	63450	Hanau	653
Kreiskrankenhaus Oschatz	Parkstrasse 1	4758	Oschatz	200
Kreiskrankenhaus	Rudolph-Weiss-Straße 5	99947	Bad Langensalza	233
Bundesknappschaft	Wieckesweg 27	44309	Dortmund	531
Krankenhaus Z Guten Hirten	Semmelweiss-Strasse 7	67059	Ludwigshafen	170
Venenzentrum Braunschweig	Kastanienallee 18-19	38102	Braunschweig	30
Kreiskrankenhaus Prenzlau	Stettiner Straße 135	17291	Prenzlau	330
Kreiskrankenhaus Mittweida	Hainichener Strasse 4-6	9648	Mittweida	190
Landesnervenklinik	Fehrbelliner Strasse 38	16816	Neuruppin	390
Bezirkskrankenhaus	-	91238	Engelthal	160
Klinik Oeschelbronn	Am Eichhof	75223	Niefern-Öschelbronn	70
Klinik Oeschelbronn	Am Eichhof	75223	Niefern-Öschelbronn	70
Rheuma Klinik	Bismarckstr 7	32545	Bad Oeynhausen	39
Kreiskrankenhaus Laupheim	Eugen-Bolz-Str 1	88471	Laupheim	161
Privatklinik Dr. Szalay	Finkenhofstr 15	60322	Frankfurt	0
Kreiskrankenhaus Rochlitz	Gaertnerstrasse 2	9306	Rochlitz	201
Evangelisches Krankenhaus	Hellweg 100	45276	Essen	333
Marienhospital	Hospitalstr 24	45329	Essen	387
Allgemeines Krankenhaus	Langenhorner Chaussee 560	22335	Hamburg	1261
Buehlertal Krankenhaus	Liehenbachstr.12	77830	Bühlertal	25
Krankenhaus St Josef	Ludwigstr 1	97421	Schweinfurt	280
Kreiskrankenhaus	Steinerweg 5	81241	München	180
Ev Krankenhaus Koeln	Weyertal 76	50937	Köln	456
Gem Klinikgesellschaft Des	Hohlstr 2-4	66564	Ottweiler	256
Kinderheilstätte	Mauritiusplatz 6	59394	Nordkirchen	45
Ev Krankenhaus Ggmbh	Suedstrasse 12	42489	Wülfrath	137
Stadtkrankenhaus	Wettelsheimer Str 9	91757	Treuchtlingen	85
Kliniken St Elisabeth	Mueller-Gnadenegg-Weg 4	86633	Neuburg	358
Bezirksklinik	Uhlandstr 4	80336	München	26
Bezirkskrankenhaus	Gleimstrasse 5	38820	Halberstadt	584
Kreiskrankenhaus	Egerer Strasse 30	95652	Waldsassen	125
Krankenhaus St.Elisabeth	Kaiserstr.14	66482	Zweibrücken	270
Chirurg Klinik Dr Rinecker	Am Isarkanal 30	81379	München	264
Lazarettstiftung Beilngries	Hauptstr 24	92339	Beilngries	39
Drk-Krankenhaus	Hainstrasse 73	35216	Biedenkopf	117
Staedt Krankenhaeuser	James-Loeb-Strasse 2	80804	München	1553
Paracelsus-Klinik	Steinburgstraße  17	25348	Glückstadt	90
Gemeindekrankenhaus	Birkenstr 3	74585	Rot am See	22
Krankenhaus St Michael	Kuehlweinstr 103	66333	Völklingen	222
Bezirkskrankenhaus	Max-Otten-Strasse 11-15	39104	Magdeburg	635
St Vincenz-Hospital	St Vinzenz-Str 1-21	33378	Rheda-Wiedenbrück	204
St Vincenz-Hospital	St Vinzenz-Str 1-21	33378	Rheda-Wiedenbrück	204
Kreiskrankenhaus Laupheim	Eugen-Bolz-Str 1	88471	Laupheim	161
Ev Krankenhaus	Hagenstr 47-49	32130	Enger	126
Lukas-Hospital Ggbmh Anklam	Hospitalstrasse 19	17389	Anklam	175
Kreiskrankenhaus Freiberg	Unterhofstrasse 2	9599	Freiberg	520
Kreiskrankenhaus	Krankenhausstrasse 5	92681	Erbendorf	65
Fachkrankenhaus Nordfries-	Krankenhausweg 3	25821	Bredstedt	39
Bezirksklinik Hochstadt	Hauptstr 13	96272	Hochstadt	73
Westf Institut	Heithofer Allee 64	59071	Hamm	130
Krankenhaus Tessin	Karl-Marx-Strasse 16	18195	Tessin	72
Altmuehltalklinik	Kindinger Str 11	85110	Kipfenberg	54
Kreiskrankenhaus Rendsburg	Lilienstraße 20-28	24768	Rendsburg	593
Kreiskrankenhaus Krumbach	Mindelheimer Strasse 69	86381	Krumbach	240
Kreiskrankenhaus Freiberg	Unterhofstrasse 2	9599	Freiberg	520
Medizinische Einrichtungen	Pauwelsstraße 30	52074	Aachen	1415
Kreiskrankenhaus Muenchberg	Hofer Str 40	95213	Münchberg	230
Kreiskrankenhaus Uetersen	Bleekerstraße 3-5	25436	Uetersen	125
Frauenklinik	Am Zuckerberg 89	71640	Ludwigsburg	14
Marienkrankenhaus	Parade 3	23552	Lübeck	135
Kreiskrankenhaus	Spitalstr.29	89584	Ehingen	198
Johanniter-Krankenhaus	Siepenstr 33	42477	Radevormwald	130
Staedt Krankenanstalten	Moltkestrasse 14	76133	Karlsruhe	1573
Kreiskrankenhaus	W-V-Siemens-Strasse 7	95478	Kemnath	159
Elisabeth-Krankenhaus Gmbh	Roentgenstrasse 10	45661	Recklinghausen	305
Urolog Klinik	Frischstr 34	86161	Augsburg	58
Marien-Krankenhaus	Dr.-Robert-Koch-Straße 18	51427	Bergisch Gladbach	356
Krankenhaus St. Georg	Bombergallee 8	31812	Bad Pyrmont	188
Kreiskrankenhaus	Am Griesberg 1	84347	Pfarrkirchen	207
Privatklinik Dr Opitz	Luitpoldstr 11 B	93047	Regensburg	32
Hospital Zum Heiligen Geist	Hospitalgasse 2	56154	Boppard	166
Fachklinik für	Straße nach Fichtenwalde 16	14547	Beelitz	234
Kliniken Am Burggraben	Alte Vlothoer Str 47-49	32105	Bad Salzuflen	30
Krankenhaus St Michael	Kuehlweinstr 103	66333	Völklingen	222
Staedt Krankenanstalten	Moltkestrasse 14	76133	Karlsruhe	1573
Oskar-Helene-Heim	Clayallee 229	14195	Berlin	267
Martin-Luther-Krankenhaus	Caspar-Theyss-Str 27	14193	Berlin	400
Krankenhaus	Rheingauer Str 64	65343	Eltville	98
Ev Bethesda-Krankenhaus	Bocholder Strasse 11-13	45355	Essen	399
Kreiskrankenhaus	Friedrichshafener Str 82	88131	Lindau	174
Bodenseekreis-Krankenhaus	Emil-Muench-Strasse 16	88069	Tettnang	200
Marienkrankenhaus	Klosterberg 1	56812	Cochem	150
Fachklinik Hornheide	Dornbaumstr 300	48143	Münster	194
Kreiskrankenhaus Schopfheim	Schwarzwaldstr 40	79650	Schopfheim	150
Krankenhaus Gerresheim	Graeulinger-Str 120	40625	Düsseldorf	455
Psychiatrisches Krankenhaus	Ludwigstr 54	64646	Heppenheim	265
Kreiskrankenhaus	Rabnauer Strasse 9	1744	Dippoldiswalde	170
Marienhospital	Hauptkanal rechts 75	26871	Papenburg	280
Kreiskrankenhaus Chemnitz	Chemnitzer Strasse 24 A	9212	Limbach-Oberfrohna	159
Augenklinik	Arabellastr 5/19	81925	München	36
Vianney-Hospital	Auf dem Stein 17-21	88662	Überlingen	30
Kreiskrankenhaus Nuertingen	Auf dem Saeer 2	72622	Nürtingen	468
Drk-Krankenhaus Alzey-Worms	Kreuznacher Str 7-9	55232	Alzey	168
Krankenhausbetrieb Des	Krankenhausstrasse 27	34613	Schwalmstadt	168
Krankenanstalt Des	Posilipostrasse 49	71640	Ludwigsburg	1061
Kreiskrankenhaus	Rathausstr.8	68766	Hockenheim	41
Kreiskrankenhaus	Rathausstr.8	68766	Hockenheim	41
St.-Vincenz-Krankenhaus	Rottstrasse 11	45711	Datteln	371
St.-Vincenz-Hospital	Südring 41	48653	Coesfeld	360
Rotes Kreuz Krankenhaus	Schoene Aussicht 41	65193	Wiesbaden	104
Arbeiter-Samariter-Bund	Am Grossen Wannsee 28-30	14109	Berlin	223
Katholisches Krankenhaus	Schülgenstraße 15	53604	Bad Honnef	277
Evangelisches Krankenhaus	Forsterweg 34	37603	Holzminden	240
Kreiskrankenhaus	Dohuser Weg 10	26409	Wittmund	175
Wilh-Griesinger-Krankenhaus	Brebacher Weg 15	12683	Berlin	701
Kreiskrankenhaus Wolgast	Chausseestrasse 46	17438	Wolgast	289
St Hildegardis-Krankenhaus	Hildegardstr 2	55131	Mainz	420
St Vincentius Krankenhaus	Holzstrasse 4 A	67346	Speyer	265
Praxisklinik	Oskar-Schlemmer-Straße 9-17	22115	Hamburg	82
Psychiatrisches Krankenhaus	Seilerweg 29	36251	Bad Hersfeld	24
Caritasklinik	Rheinstrasse 2	66113	Saarbrücken	460
Kreiskrankenhaus Hettstedt	St-Jacobi-Strasse 6	6333	Hettstedt	336
Krankenhaus der Evang.-Luth	Helmstedter Straße 35 a	38102	Braunschweig	208
Orthopädische Klinik	Hasselbornring 15	35619	Braunfels	120
Kreiskrankenhaus	Bahnhofstrasse 15	17087	Altentreptow	96
Evangelisches Krankenhaus	Hellweg 100	45276	Essen	333
Krank Haeuser d Maerk Krs	Paulmannshoeher Str 21	58515	Lüdenscheid	1139
Klinikum Lippe-Detmold GmbH	Röntgenstr 18	32756	Detmold	826
Stiftung Paracelsus	Burghaldenweg	75378	Bad Liebenzell	72
Kreiskrankenhaus Osterode	Dr.-Hermannes-Weg 1	37412	Herzberg	236
Johanniter-Krankenhaus	Hasestraße 16-18	49565	Bramsche	135
Paulinenkrankenhaus	Paulinenweg 1	48455	Bad Bentheim	50
Stadt Heilbronn	Am Gesundbrunnen 20	74078	Heilbronn	838
Krankenhaus d Barmherzigen	Koblenzer Strasse 11-13	56410	Montabaur	189
Theresien-Hospital	Krankenhausstraße 8	49219	Glandorf	45
Kreiskrankenhaus Pößneck	Hohes Gäßchen 8-10	7381	Pößneck	256
Landratsamt Rhoen/Grabfeld	Spoerleinstr	97616	Bad Neustadt	120
Kreiskrankenhaus Hagenow	Parkstraße 12	19230	Hagenow	220
Klinik Dr. Bohnen GmbH	Johannesstraße 6-7	38350	Helmstedt	55
St Hedwig-Klinik	A 2 5-7	68159	Mannheim	80
Staedt Kliniken Dortmund	Beurhausstr 40	44137	Dortmund	1864
Krankenhauszweckverband	Robert-Weixler-Strasse 50	87439	Kempten	740
Marienhospital	Basilikastrasse 55	47623	Kevelaer	254
Bezirkskrankenhaus	Gleimstrasse 5	38820	Halberstadt	584
Reha- Kliniken	Johannesstrasse 2	94072	Bad Füssing	30
Johanniter-Krankenhaus	Kreuzacker 1-7	47228	Duisburg	380
Stadtkrankenhaus	Perleberger Strasse 31A	16866	Kyritz	195
Marienkrankenhaus	Klosterberg 1	56812	Cochem	150
Kreiskrankenhaus	Achdorfer Weg 3	84036	Landshut	367
Kreiskrankenhaus Altenburg	Leipziger Strasse 1	4600	Altenburg	433
Psychosomatische Klinik	Schuetzenstr 16	86949	Windach	136
Diakonie-Krankenhaus	Diakoniestr	74523	Schwäbisch Hall	593
Kreiskrankenhaus	Am Vogelsang 4	79618	Rheinfelden	170
Staedt Krankenanstalten	Bremserstr 79	67063	Ludwigshafen	1038
Klein E Dr med Gmbh	Lerchenstrasse 81	74072	Heilbronn	20
Alexianer-Krankenhaus	Alexianerweg 9	48163	Münster	130
St Josef-Hospital	Buerer Str 47	45899	Gelsenkirchen	344
Katharinen-Hospital	Bahnstr 26	47877	Willich	160
Kreiskrankenhaus	Krankenhausweg 2	37627	Stadtoldendorf	127
Filderklinik	Haberschlaiheide	70794	Filderstadt	216
Stiftung Tannenhof	Remscheider Str. 76	42899	Remscheid	474
Deutsches Herzzentrum	Augustenburger Platz 1	13353	Berlin	142
Krankenhaus Radeburg	Herbert-Schmidt-Strasse 2	1471	Radeburg	69
Staedt Krankenhaeuser	James-Loeb-Strasse 2	80804	München	1553
Staatl Rheumakrankenhaus	Koenig-Karl-Str 5	75323	Bad Wildbad	100
Bundesknappschaft Klinik	Lazarettstrasse 4	66280	Sulzbach	300
Diakonissenkrankenhaus	Speyerer Str 93-95	68199	Mannheim	300
Jugenddorf Buchenhoehe	Buchenhoehe 46	83471	Berchtesgaden	20
Kreiskrankenhaus	Dorfstrasse 1	39387	Neindorf	298
Karl-Bonhoeffer-Nerven-	Oranienburger Strasse 285	13437	Berlin	600
Ev. Krankenhaus Gottesfriede	Schleusenstrasse 50	15569	Woltersdorf	103
Elisabeth-Krankenhaus	Klosterstraße 4	49832	Thuine	170
Kreiskrankenhaus	Hegelpromenade 21	2943	Weißwasser	268
Kreiskrankenhs Isny	Am Engelberg 29	88239	Wangen	100
St Josefs-Krankenhaus	Seegartenstr 4	68519	Viernheim	106
St Elisabeth-Krankenhaus	Elisabethstrasse	66687	Wadern	148
Orthopädische Klinik	Rudolf-Breitscheid-Str. 24	14482	Potsdam	150
Kreiskrankenhaus	Bergstraße 30	38518	Gifhorn	403
Sued-Klinik Gmbh & Co	Oskar-von-Miller-Str 6	94315	Straubing	60
St Elisabeth-Krankenhaus	Elisabethstrasse	66687	Wadern	148
Privatklinik Dr. Pantke	Beselerallee 7	24105	Kiel	21
St.-Joseph-Krankenhaus	Gartenstrasse 1-5	10115	Berlin	256
Fachklinik Holte-Lastrup	Lähdener Straße 8	49774	Lähden	40
Klinik Am Sonnenberg Gmbh	Leibnizstr 19	65191	Wiesbaden	39
Frauenklinik Starnberg	Possenhofener Str 49 A	82319	Starnberg	45
Privatklinik Dr.Hellge	Hochstr 6	94032	Passau	65
Justus-Liebig-Universität	Rudolf-Buchheim-Str 6	35392	Gießen	1380
St Josef-Krankenhaus	Bitburger-Str 17	54673	Neuerburg	50
Kreiskrankenhaus Lörrach	Spitalstraße 25	79539	Lörrach	402
Kreiskrankenhaus	Crailsheimer Str 6	91550	Dinkelsbühl	190
Staedt.Krankenhaus	Friedrichstr 48	79677	Schönau	34
Kreiskrankenhaus	Gaisbacherstrasse 7	77704	Oberkirch	106
Albertinenkrankenhaus	Robert-Koch-Straße 1	49201	Dissen	200
Kreis-und Stadtkrankenhaus	Forsthausstr 1	35578	Wetzlar	686
Fachklinik Fuer Neurologie	Akad Krkhs der Univers Ulm	88477	Schwendi	78
Krankenhaus F Sport-	Paulmannhoeher Str 17	58507	Lüdenscheid	306
Mathilden-Hospital	Renntormauer 1	32052	Herford	236
Kreiskrankenhaus Borna	Rudolf-Virchow-Strasse 2	4552	Borna	593
Kreiskrankenhaus	Albert-Schweitzer-Str 90	91710	Gunzenhausen	220
Spezialklinik Neukirchen	Krankenhausstrasse 9	93453	Neukirchen	190
Kreiskrankenhaus Stormarn	Schützenstraße 55	23843	Bad Oldesloe	286
Kreiskrankenhaus	Dohuser Weg 10	26409	Wittmund	175
Kreiskrankenhaus	Holzbacher-Str 1	55469	Simmern	303
Kreiskrankenhaus	Rudolph-Weiss-Straße 5	99947	Bad Langensalza	233
Kreiskrankenhaus Buchen	Dr Konrad Adenauer Str 37	74722	Buchen	224
Kreiskrankenhaus Albstadt 1	Friedrichstr 39	72458	Albstadt	308
Kreiskrankenhaus	Hermann-Löns-Straße	29451	Dannenberg	212
Max-Bürger-Krankenhaus	Sophie-Charlotten-Str 115	14059	Berlin	614
Anstalt für Chronischkranke	Spandauer-Strasse 22-25	13591	Berlin	126
St.-Josef-Krankenhaus	Stationsweg 7	37327	Leinefelde	42
Fehmarnsches Krankenhaus	Bürgermeister-Lafrenz-Straße 4	23769	Burg	65
Kinderklinik	Faehrstrasse 4	6114	Halle	120
Bundeswehrkrankenhaus	Koeferinger Str 1 Posf 830	92224	Amberg	81
Krankenhaus Borstel	Parkallee 1	23845	Borstel	115
St Josefs-Hospital	Solmstr 15	65183	Wiesbaden	479
Kath. Krankenhaus Marienheim	Krankenhausweg 8	49762	Lathen	35
Nephrologisches Zentrum	Am Vogelsang 105	34346	Hannoversch Münden	120
Staedt.Krankenhaus	Bismarckstr 19	79336	Herbolzheim	150
Evangelisches Krankenhaus	Ferrenbergstraße 24	51465	Bergisch Gladbach	300
Wilhelmsburger Krankenhaus	Groß Sand 3	21107	Hamburg	202
Frauenklinik	Heilwigstraße 103	20249	Hamburg	24
Staedt Krankenanstalten	Krankenhaus-Str 2	55743	Idar-Oberstein	502
Kreiskrankenhaus Lehrte	Manskestraße 22	31275	Lehrte	206
Krankenhaus Rotes Kreuz	Marlistraße 10	23566	Lübeck	70
Kreiskrankenhaus	Simonsoeder Allee	84307	Eggenfelden	310
Marien-Hospital	Gottfr-Disse-Strasse 40	53879	Euskirchen	465
Fachkrankenhaus Marienstift	Clara-Zetkin-Strasse 72	8340	Schwarzenberg	68
Deutsches Rotes Kreuz	Schiffdorfer Straße 29	27568	Bremerhaven	411
St Antonius-Krankenhaus	Schillerstr 23	50968	Köln	260
Bezirksklinik Hochstadt	Hauptstr 13	96272	Hochstadt	73
St.-Agnes-Hospital	Burloer Weg 125	46397	Bocholt	506
Martin-Luther-Krankenhaus	Dr.-Otto-Straße 2	27404	Zeven	150
Bezirkskrankenhaus	Freudental 1	87435	Kempten	76
Dominikus-Krankenhaus Gmbh	Kurhausstr.30-34	13467	Berlin	261
Städtisches Krankenhaus	Mühlenstraße 1	26548	Norderney	45
Samariterstiftung	Schlossweg 1	72622	Nürtingen	0
Diakonie-Krankenhaus	Ringstr 58-60	55543	Bad Kreuznach	380
Kliniken d Main-Taunus-Krs	Kronberger Str 36	65812	Bad Soden	507
Kreiskrankenhaus	Dingolshaeuser Str 5	97447	Gerolzhofen	140
Havelklinik KG	Gatower-Str 191-193	13595	Berlin	96
Theresienkrankenhaus	Mommsenstr 24	90491	Nürnberg	353
Krankenhausgesellschaft Des	Parktorweg 10	78713	Schramberg	208
St.- Alexius-Krankenhaus	Alexianerplatz 1	41464	Neuss	454
Krankenhaus F Psychiatrie	Am Sommerberg	97816	Lohr	441
Vianney-Hospital	Auf dem Stein 17-21	88662	Überlingen	30
Kreiskrankenhaus	Duebener Strasse 3 - 9	4509	Delitzsch	185
Krankenhaus St Josef	Eibinger Strasse 9	65385	Rüdesheim am Rhein	168
Psychiatr Landeskrankenhaus	Feuersteinstr 55	78462	Konstanz	330
Albert-Schweitzer-Kranken-	Grafplatz 5	37170	Uslar	91
Weserbergland-Klinik	Gruene Muehle	37671	Höxter	496
Kreiskrankenh Lichtenstein	Hartensteiner Strasse 42	9350	Lichtenstein	225
Stadtkrankenhaus Calbe	Hospitalstrasse 5	39240	Calbe	129
Klinik Dr Bauer	Kantstr 13	71640	Ludwigsburg	16
Kreiskrankenhaus Wurzen	Kutusowstrasse 70	4808	Wurzen	285
Kreiskrankenhaus	Liebenauerstrasse 1	34369	Hofgeismar	175
TK-Modellverbund	Lumumbastr 15	4105	Leipzig	0
Bezirksnervenklinik	Oderberger Strasse 8	16225	Eberswalde-Finow	408
Klinik Kessler-Handorn	Parkstr.58	67655	Kaiserslautern	51
Klinik Wittgenstein	Saehlingstrasse 60	57319	Bad Berleburg	245
Fachkrh. für Suchtkranke	Schloss Reelsen	33014	Bad Driburg	22
St Franziskus-Hospital	Schoensteinstr 63	50825	Köln	404
St Johannes-Hospital	Billerbeckerstr 28	48341	Altenberge	60
Cs Verwaltungsgesellschaft	Muehlenstrasse 60	83098	Brannenburg	86
Kreiskrankenhaus	Robert-Koch-Straße 4	29664	Walsrode	290
Verband Schwaebischer	Haussmannstr 103	70188	Stuttgart	63
St Gerburgis-Hospital	Hagenstrasse 32	48301	Nottuln	110
St Hedwig-Klinik	A 2 5-7	68159	Mannheim	80
Hospital Z.Heiligen Geist	Bruedergasse 4	34560	Fritzlar	180
Kreiskrankenhaus Elmshorn	Agnes-Karll-Allee	25337	Elmshorn	316
Kreiskrankenhaus Ammerland	Lange Straße	26655	Westerstede	436
Kreiskrankenhaus Sulz	Freudenstaedter Str 13	72172	Sulz	45
Marienhospital Orsoy Gmbh	Rheinberger Str 375	47495	Rheinberg	160
St Antonius-Hospital	Hospitalstr 16	41366	Schwalmtal	143
St Martinus-Krankenhaus	Klosterstr 32	40764	Langenfeld	201
Antoniuszentrum GmbH	Hospitalstr 2	47918	Tönisvorst	170
St.-Josef Hospital	Elmarstr 38	33004	Bad Driburg	308
Albert-Ludwigs-Universitaet	Hugstetter Str 49	79106	Freiburg	1944
Kreiskrankenhaus Spemberg	Karl-Marx- Strasse 80	3130	Spremberg	228
St.-Agnes-Hospital	Burloer Weg 125	46397	Bocholt	506
Kreiskrankenhaus	Kaltenecker Str 10	94116	Hutthurm	59
Evangelisches Krankenhaus	Glindersweg 80	21029	Hamburg	235
Antoniuszentrum GmbH	Hospitalstr 2	47918	Tönisvorst	170
Stiftungskrankenhaus	Spitalgasse 1	67346	Speyer	110
Cs Verwaltungsgesellschaft	Muehlenstrasse 60	83098	Brannenburg	86
Krankenhaus Maria Hilf	Klosterstraße 2	50126	Bergheim	265
Kreiskrankenhaus Buerger-	Ockstaedter Strasse 3-5	61169	Friedberg	250
Kreiskrankenhaus	Ludwig-Heilmeyer-Strasse 1	89312	Günzburg	244
Staedtisches Klinikum Fulda	Pacelliallee 4	36043	Fulda	899
Fachkrankenhaus Fur	-	2708	Großschweidnitz	352
Eggberklinik	Bergseestr 41-43	79713	Bad Säckingen	25
St.-Josef-Hospital	Hermannstraße 37	53225	Bonn	261
Kreiskrankenhaus Pößneck	Hohes Gäßchen 8-10	7381	Pößneck	256
Stiftung Liebenau Kliniken	Am Vogelherd 4	88239	Wangen	125
Paracelsus-Klinik Hemer	Breddestr 22	58675	Hemer	210
Wilhelm-Augusta-Krankenhaus	Röpersberg 2	23909	Ratzeburg	210
Rheinische Landesklinik	Johannisstr 70	41749	Viersen	928
Hess Berglandklinik	Landstr 4	35080	Bad Endbach	104
Krankenhaus Erlabrunn	-	8349	Erlabrunn	494
Krankenhaus Waging Am See	Salzburger Str 29	83329	Waging	63
St Vincenz-Krankenhaus	Nussallee 28	63450	Hanau	297
Staedt.Krankenhaus	Bismarckstr 19	79336	Herbolzheim	150
Kreiskrankenhaus Bahrendorf	Friedensstrasse 18	39171	Bahrendorf	135
Krankenhaus	Rheingauer Str 64	65343	Eltville	98
DRK-Krankenhaus	Berliner Str.11	14169	Berlin	250
Krankenhaus Maria-Hilf	Hospitalstr 3-7	59581	Warstein	195
Priessnitz-Klinik Mahlow	Arnold-Böcklin-Strasse 7	15831	Mahlow	80
Kreiskrankenhaus	Hauserstrasse 40	93444	Kötzting	150
Krankenhaus Weilheim Des	Roentgenstr 2	82362	Weilheim	171
Kreiskrankenhaus	Holzhäuserweg 28	31592	Stolzenau	130
St Elisabeth Krankenhaus	Koblenzer Str 91	54516	Wittlich	420
Marienkrankenhaus	Alfredstraße 9	22087	Hamburg	568
Diakonissenkrankenhaus	Holzhofgasse 29	1099	Dresden	264
St.- Elisabeth-Krankenhaus	Biedermannstrasse 84	4277	Leipzig	384
